Insitituion
école des Ponts ParisTech
PepsiCo
"Lund University, WWF"
"United Cities and Local Governments of Africa, African Local Government Academy, Erasmus University Rotterdam, Institute for Housing and Urban Development "
University of Kentucky
Carnegie Mellon University
IIT Roorkee
"University of London, UCL Institute of Education"
"Universiteit Leiden, LDE Centre for Safety and Security"
"University of Cape Town, Oxfam"
ESADE Business and Law School
"Technical University of Munich (TUM),  EIT Urban Mobility"
Relay Graduate School of Education
"University of Alberta, UiT The Arctic University of Norway"
"University of Pennsylvania, National Arts Strategies"
"Georgia Institute of Technology, University of Colorado Boulder"
"New Teacher Center, Silicon Schools Fund, Clayton Christensen Institute, Relay Graduate School of Education"
"University of Cape Town, National Oceanic and Atmospheric Administration (NOAA), IW:LEARN, Global Environment Facility (GEF), United Nations Development Programme (UNDP-The GEF), UNESCO-IOC, United Nations Environment Programme"
"University of Copenhagen, University of Warsaw, University of Milan, Sorbonne University, Charles University, 4EU+ Alliance"
"The University of Hong Kong, The State University of New York"
"Funda??o Lemann, Instituto Península "
"Funda??o Lemann, Foreducation, Google for Education"
"Funda??o Lemann, Elos Educacional"
"University of Amsterdam, Enviolo"
"University of Arizona, University of Florida, Drexel University"
